Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2000-01-03,148.25,148.25,143.875,145.4375,94.26255798339844,8164300,,,,,,,,
2000-01-04,143.53125,144.0625,139.640625,139.75,90.57635498046876,8089800,,,,,,,,
2000-01-05,139.9375,141.53125,137.25,140.0,90.73836517333984,12177900,,,,,,,,
2000-01-06,139.625,141.5,137.75,137.75,89.28004455566406,6227200,,,,,,,,
2000-01-07,140.3125,145.75,140.0625,145.75,94.465087890625,8066500,,,,,,,,
2000-01-10,146.25,146.90625,145.03125,146.25,94.7891616821289,5741700,,,,,,,,
2000-01-11,145.8125,146.09375,143.5,144.5,93.65493774414062,7503700,,,,,,,,
2000-01-12,144.59375,144.59375,142.875,143.0625,92.72329711914062,6907700,,,,,,,,
2000-01-13,144.46875,145.75,143.28125,145.0,93.97898864746094,5158300,,,,,,,,
2000-01-14,146.53125,147.46875,145.96875,146.96875,95.25502014160156,7437300,143.446875,144.48581963941453,,59.35281426830606,,,,
2000-01-18,145.34375,146.625,145.1875,145.8125,94.505615234375,6488500,143.484375,144.72703425043005,0.25784271594327457,54.66123279103285,,,,
2000-01-19,145.3125,147.0,145.0,147.0,95.27526092529295,6157900,144.209375,145.14030075035186,5.18783542039356,58.41251682011302,,,,
2000-01-20,146.96875,146.96875,143.8125,144.75,93.81696319580078,5800100,144.684375,145.0693369775606,3.392857142857143,49.74718594726068,,,,
2000-01-21,145.5,145.5,144.0625,144.4375,93.61443328857422,6244800,145.353125,144.95445752709503,4.854809437386569,48.63380828507939,,,,
2000-01-24,145.65625,145.84375,139.40625,140.34375,90.961181640625,7896900,144.8125,144.11614706762322,-3.7092624356775303,36.683615662829276,,,,
2000-01-25,140.515625,141.9375,139.0,141.9375,91.9940948486328,9942500,144.38125,143.72002941896443,-2.9487179487179485,42.76692724584362,,,,
2000-01-26,141.0,141.546875,140.09375,140.8125,91.26493072509766,5158100,144.0125,143.19138770642545,-2.551903114186851,39.77004388736915,,,,
2000-01-27,141.84375,142.21875,138.125,140.25,90.900390625,10922700,143.73125,142.6565899416208,-1.9659239842726082,38.27979472165188,,,,
2000-01-28,139.4375,140.0625,135.53125,135.875,88.06478118896484,11916200,142.81875,141.42357358859883,-6.293103448275862,28.91596465663133,,,,
2000-01-31,135.8125,139.671875,135.0,139.5625,90.45480346679688,10768700,142.078125,141.08519657248993,-5.039336593663619,42.16504633625174,,149.1534543008067,136.3715456991933,142.7625
2000-02-01,139.75,141.6875,138.53125,140.9375,91.3459701538086,8419900,141.590625,141.05834265021903,-3.3433347621088725,46.311024229525586,,148.85230774647965,136.22269225352034,142.5375
2000-02-02,141.28125,142.25,140.375,141.0625,91.42697143554688,6205900,140.996875,141.0590985319974,-4.039115646258503,46.696993828320196,,148.82732487327686,136.37892512672315,142.603125
2000-02-03,140.875,143.25,140.0,143.1875,92.80426788330078,7997500,140.840625,141.44608061708877,-1.079447322970639,53.069749443563666,,148.87413720904632,136.65086279095365,142.7625
2000-02-04,143.1875,144.0,142.125,142.59375,92.41943359375,4925400,140.65625,141.65474777761807,-1.2765036780614452,51.17043509198599,,148.6702108030034,137.33916419699656,143.0046875
2000-02-07,142.5625,142.78125,141.4375,142.375,92.2776336669922,5845800,140.859375,141.78570272714205,1.447339122689824,50.4315883060485,,148.36370388181052,137.30817111818948,142.8359375
