ticker,queryCount,resultsCount,adjusted,results,status,request_id,count
AAA,426,426,True,"{'v': 3, 'vw': 25.0063, 'o': 25.0001, 'c': 25.0001, 'h': 25.0001, 'l': 25.0001, 't': 1641272400000, 'n': 3}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 12292, 'vw': 25, 'o': 25, 'c': 25, 'h': 25, 'l': 24.999, 't': 1641358800000, 'n': 34}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 3176, 'vw': 24.9982, 'o': 25, 'c': 25, 'h': 25, 'l': 24.995, 't': 1641445200000, 'n': 25}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 1562, 'vw': 24.9928, 'o': 24.99, 'c': 25, 'h': 25, 'l': 24.99, 't': 1641531600000, 'n': 14}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 3641, 'vw': 24.9951, 'o': 24.995, 'c': 25, 'h': 25, 'l': 24.991, 't': 1641790800000, 'n': 51}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 1572, 'vw': 24.9885, 'o': 24.99, 'c': 24.99, 'h': 24.99, 'l': 24.99, 't': 1641877200000, 'n': 15}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 706, 'vw': 24.9907, 'o': 24.9899, 'c': 24.995, 'h': 24.995, 'l': 24.9899, 't': 1641963600000, 'n': 7}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 2406, 'vw': 24.9944, 'o': 25, 'c': 25, 'h': 25, 'l': 24.9901, 't': 1642050000000, 'n': 25}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 1271, 'vw': 24.9813, 'o': 24.9801, 'c': 24.985, 'h': 24.985, 'l': 24.9801, 't': 1642136400000, 'n': 10}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 1525, 'vw': 24.9759, 'o': 24.9899, 'c': 24.98, 'h': 24.9899, 'l': 24.97, 't': 1642482000000, 'n': 10}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 130, 'vw': 25, 'o': 25, 'c': 24.985, 'h': 25, 'l': 24.985, 't': 1642568400000, 'n': 2}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 3024, 'vw': 24.996, 'o': 24.999, 'c': 25, 'h': 25, 'l': 24.99, 't': 1642654800000, 'n': 22}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 3933, 'vw': 24.991, 'o': 25, 'c': 25, 'h': 25, 'l': 24.985, 't': 1642741200000, 'n': 34}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 2822, 'vw': 24.9769, 'o': 24.985, 'c': 25, 'h': 25, 'l': 24.97, 't': 1643000400000, 'n': 27}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 335, 'vw': 24.9934, 'o': 25, 'c': 24.985, 'h': 25, 'l': 24.985, 't': 1643086800000, 'n': 9}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 4324, 'vw': 24.9934, 'o': 24.99, 'c': 24.99, 'h': 25.0023, 'l': 24.99, 't': 1643173200000, 'n': 13}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 4145, 'vw': 25.0017, 'o': 25, 'c': 25.01, 'h': 25.01, 'l': 25, 't': 1643259600000, 'n': 12}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 5227, 'vw': 25.001, 'o': 25.01, 'c': 25.01, 'h': 25.01, 'l': 25, 't': 1643346000000, 'n': 18}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 2624, 'vw': 24.9947, 'o': 25.01, 'c': 25.01, 'h': 25.01, 'l': 24.99, 't': 1643605200000, 'n': 6}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 826, 'vw': 24.9985, 'o': 24.99, 'c': 25, 'h': 25, 'l': 24.99, 't': 1643691600000, 'n': 5}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 621, 'vw': 24.9999, 'o': 25, 'c': 25, 'h': 25, 'l': 25, 't': 1643778000000, 'n': 5}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 904, 'vw': 24.9934, 'o': 25, 'c': 25, 'h': 25, 'l': 24.98, 't': 1643864400000, 'n': 6}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 2879, 'vw': 24.9947, 'o': 24.995, 'c': 25, 'h': 25, 'l': 24.99, 't': 1643950800000, 'n': 21}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 714, 'vw': 24.9978, 'o': 25, 'c': 25, 'h': 25, 'l': 25, 't': 1644210000000, 'n': 13}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 3172, 'vw': 24.99, 'o': 25, 'c': 25, 'h': 25, 'l': 24.971, 't': 1644296400000, 'n': 36}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 1600, 'vw': 24.9908, 'o': 25, 'c': 25, 'h': 25, 'l': 24.985, 't': 1644382800000, 'n': 30}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 700, 'vw': 25.001, 'o': 25, 'c': 25.0052, 'h': 25.0052, 'l': 24.9991, 't': 1644469200000, 'n': 6}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 22041, 'vw': 25.029, 'o': 24.995, 'c': 24.98, 'h': 25.03, 'l': 24.98, 't': 1644555600000, 'n': 25}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 1451, 'vw': 24.9916, 'o': 25, 'c': 25, 'h': 25, 'l': 24.97, 't': 1644814800000, 'n': 24}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
AAA,426,426,True,"{'v': 1014, 'vw': 24.984, 'o': 24.99, 'c': 24.98, 'h': 24.99, 'l': 24.98, 't': 1644901200000, 'n': 24}",OK,24fb97bf3f49d4a7771872aa194ec8a9,426
