Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
sq,
2023-11-22,
Compact,
US/Eastern,
,"{'1. open': '53.7850', '2. high': '55.7291', '3. low': '53.6500', '4. close': '54.3300', '5. volume': '10233084'}"
,"{'1. open': '53.9550', '2. high': '55.2000', '3. low': '53.2701', '4. close': '53.9400', '5. volume': '10420035'}"
,"{'1. open': '56.0000', '2. high': '56.0000', '3. low': '52.7800', '4. close': '53.0800', '5. volume': '20720751'}"
,"{'1. open': '56.2200', '2. high': '56.5000', '3. low': '55.1400', '4. close': '56.0400', '5. volume': '9075765'}"
,"{'1. open': '57.6800', '2. high': '59.7200', '3. low': '57.4900', '4. close': '57.6400', '5. volume': '10491583'}"
,"{'1. open': '58.1600', '2. high': '59.1950', '3. low': '57.7850', '4. close': '58.7400', '5. volume': '5987049'}"
,"{'1. open': '58.3900', '2. high': '59.0400', '3. low': '57.8500', '4. close': '58.1700', '5. volume': '5752348'}"
,"{'1. open': '57.8000', '2. high': '58.5000', '3. low': '57.1700', '4. close': '57.6500', '5. volume': '7392938'}"
,"{'1. open': '57.3300', '2. high': '58.2100', '3. low': '56.9800', '4. close': '57.7200', '5. volume': '6813238'}"
,"{'1. open': '55.5700', '2. high': '57.9000', '3. low': '55.4600', '4. close': '57.7600', '5. volume': '7329804'}"
,"{'1. open': '56.0100', '2. high': '56.4500', '3. low': '55.2600', '4. close': '55.8700', '5. volume': '5333590'}"
,"{'1. open': '55.4000', '2. high': '56.6300', '3. low': '54.9700', '4. close': '55.8600', '5. volume': '7741021'}"
,"{'1. open': '57.5700', '2. high': '57.5700', '3. low': '55.3100', '4. close': '55.6300', '5. volume': '7952746'}"
,"{'1. open': '56.3000', '2. high': '57.4000', '3. low': '55.9000', '4. close': '57.2200', '5. volume': '12207274'}"
,"{'1. open': '57.8100', '2. high': '58.0002', '3. low': '55.6300', '4. close': '56.0700', '5. volume': '10503847'}"
,"{'1. open': '56.8400', '2. high': '57.5600', '3. low': '55.9900', '4. close': '57.5600', '5. volume': '9422938'}"
,"{'1. open': '55.0300', '2. high': '57.2700', '3. low': '54.7250', '4. close': '56.8800', '5. volume': '9841116'}"
,"{'1. open': '57.0700', '2. high': '57.5200', '3. low': '56.0800', '4. close': '56.1000', '5. volume': '10195218'}"
,"{'1. open': '58.1400', '2. high': '58.9500', '3. low': '57.4400', '4. close': '57.4900', '5. volume': '8309160'}"
,"{'1. open': '60.0900', '2. high': '60.3600', '3. low': '58.1300', '4. close': '58.3600', '5. volume': '9501060'}"
,"{'1. open': '60.0600', '2. high': '60.4900', '3. low': '59.6400', '4. close': '60.1500', '5. volume': '7408116'}"
,"{'1. open': '61.6000', '2. high': '62.3600', '3. low': '60.5300', '4. close': '60.5700', '5. volume': '7740658'}"
,"{'1. open': '63.0600', '2. high': '64.2600', '3. low': '61.8100', '4. close': '62.2400', '5. volume': '8642458'}"
,"{'1. open': '63.6300', '2. high': '64.5467', '3. low': '62.4100', '4. close': '62.7100', '5. volume': '12169229'}"
,"{'1. open': '62.8000', '2. high': '63.5800', '3. low': '62.3200', '4. close': '62.3800', '5. volume': '11439272'}"
,"{'1. open': '64.1600', '2. high': '65.1500', '3. low': '63.2800', '4. close': '64.0100', '5. volume': '16331223'}"
,"{'1. open': '67.6800', '2. high': '70.3983', '3. low': '63.2000', '4. close': '63.5200', '5. volume': '33475980'}"
,"{'1. open': '73.3600', '2. high': '73.8800', '3. low': '71.5100', '4. close': '73.5500', '5. volume': '13871067'}"
,"{'1. open': '77.1350', '2. high': '77.1350', '3. low': '73.8700', '4. close': '74.4900', '5. volume': '10439823'}"
,"{'1. open': '79.8800', '2. high': '79.9000', '3. low': '77.7800', '4. close': '78.7600', '5. volume': '6745084'}"
,"{'1. open': '79.3800', '2. high': '81.4700', '3. low': '79.1600', '4. close': '80.5300', '5. volume': '7815048'}"
,"{'1. open': '78.3150', '2. high': '78.9800', '3. low': '77.3500', '4. close': '78.3600', '5. volume': '6228303'}"
,"{'1. open': '78.8300', '2. high': '79.4400', '3. low': '75.4000', '4. close': '75.7700', '5. volume': '5911856'}"
,"{'1. open': '76.1600', '2. high': '77.8450', '3. low': '75.7600', '4. close': '77.4100', '5. volume': '4235244'}"
,"{'1. open': '77.5800', '2. high': '78.2500', '3. low': '76.7900', '4. close': '76.8700', '5. volume': '3362612'}"
,"{'1. open': '75.8600', '2. high': '77.2600', '3. low': '74.3600', '4. close': '77.1400', '5. volume': '5015956'}"
,"{'1. open': '76.8800', '2. high': '77.6050', '3. low': '75.0800', '4. close': '76.1200', '5. volume': '5260141'}"
,"{'1. open': '77.2250', '2. high': '77.9500', '3. low': '75.6600', '4. close': '76.1700', '5. volume': '7231342'}"
,"{'1. open': '79.1500', '2. high': '80.6000', '3. low': '78.1100', '4. close': '78.1900', '5. volume': '8320687'}"
