Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
AA,
2023-11-22,
Compact,
US/Eastern,
,"{'1. open': '28.4500', '2. high': '28.8200', '3. low': '28.1200', '4. close': '28.2000', '5. volume': '3630503'}"
,"{'1. open': '28.8200', '2. high': '29.0500', '3. low': '28.4300', '4. close': '28.6800', '5. volume': '5012351'}"
,"{'1. open': '28.3000', '2. high': '28.4671', '3. low': '27.9600', '4. close': '28.1000', '5. volume': '4524257'}"
,"{'1. open': '29.4500', '2. high': '29.4500', '3. low': '28.0600', '4. close': '28.4500', '5. volume': '9406076'}"
,"{'1. open': '30.0400', '2. high': '30.6500', '3. low': '29.8100', '4. close': '30.2000', '5. volume': '4090894'}"
,"{'1. open': '30.7800', '2. high': '31.1200', '3. low': '30.2000', '4. close': '30.2900', '5. volume': '4304771'}"
,"{'1. open': '30.9500', '2. high': '31.4500', '3. low': '30.7014', '4. close': '31.1000', '5. volume': '5976992'}"
,"{'1. open': '29.8200', '2. high': '30.8300', '3. low': '29.5600', '4. close': '30.0800', '5. volume': '19155338'}"
,"{'1. open': '29.6500', '2. high': '29.6500', '3. low': '29.0700', '4. close': '29.5100', '5. volume': '4926964'}"
,"{'1. open': '28.5400', '2. high': '29.6200', '3. low': '28.3400', '4. close': '29.6100', '5. volume': '6315824'}"
,"{'1. open': '28.6000', '2. high': '29.0200', '3. low': '28.3800', '4. close': '28.4800', '5. volume': '4457549'}"
,"{'1. open': '28.8200', '2. high': '29.0750', '3. low': '27.7600', '4. close': '28.2300', '5. volume': '5398305'}"
,"{'1. open': '28.3600', '2. high': '29.1100', '3. low': '28.3099', '4. close': '28.7500', '5. volume': '4329546'}"
,"{'1. open': '28.7800', '2. high': '29.0300', '3. low': '28.5600', '4. close': '28.8100', '5. volume': '5915245'}"
,"{'1. open': '28.9100', '2. high': '29.0900', '3. low': '28.1800', '4. close': '28.7800', '5. volume': '4594258'}"
,"{'1. open': '29.0000', '2. high': '29.0699', '3. low': '28.0300', '4. close': '28.5900', '5. volume': '4701351'}"
,"{'1. open': '28.4500', '2. high': '29.0000', '3. low': '28.2300', '4. close': '28.9700', '5. volume': '7345396'}"
,"{'1. open': '29.9200', '2. high': '30.0400', '3. low': '28.9100', '4. close': '29.1100', '5. volume': '6527408'}"
,"{'1. open': '30.0800', '2. high': '30.5200', '3. low': '29.0950', '4. close': '29.3100', '5. volume': '7915883'}"
,"{'1. open': '31.4750', '2. high': '31.4750', '3. low': '30.3050', '4. close': '30.3400', '5. volume': '5807857'}"
,"{'1. open': '31.5600', '2. high': '31.8600', '3. low': '30.6000', '4. close': '31.7300', '5. volume': '7337110'}"
,"{'1. open': '32.4650', '2. high': '32.4950', '3. low': '31.8087', '4. close': '31.9600', '5. volume': '4735375'}"
,"{'1. open': '33.9700', '2. high': '34.0000', '3. low': '32.5500', '4. close': '32.8800', '5. volume': '4810865'}"
,"{'1. open': '33.4800', '2. high': '34.0900', '3. low': '33.0300', '4. close': '33.6200', '5. volume': '4132679'}"
,"{'1. open': '33.0200', '2. high': '33.3500', '3. low': '32.6800', '4. close': '33.2300', '5. volume': '5366294'}"
,"{'1. open': '33.9000', '2. high': '34.0600', '3. low': '33.2200', '4. close': '34.0600', '5. volume': '3520608'}"
,"{'1. open': '34.5500', '2. high': '34.9300', '3. low': '33.7550', '4. close': '33.9500', '5. volume': '3820122'}"
,"{'1. open': '34.0000', '2. high': '34.6900', '3. low': '33.5100', '4. close': '34.5000', '5. volume': '4244965'}"
,"{'1. open': '34.4250', '2. high': '34.6850', '3. low': '33.6600', '4. close': '33.9300', '5. volume': '5294750'}"
,"{'1. open': '35.4800', '2. high': '35.6600', '3. low': '35.1000', '4. close': '35.1800', '5. volume': '5222665'}"
,"{'1. open': '35.4500', '2. high': '36.5850', '3. low': '35.3100', '4. close': '36.1900', '5. volume': '6038960'}"
,"{'1. open': '34.3500', '2. high': '34.7900', '3. low': '33.7900', '4. close': '34.7600', '5. volume': '4173672'}"
,"{'1. open': '35.0600', '2. high': '35.1300', '3. low': '33.9000', '4. close': '33.9100', '5. volume': '6002474'}"
,"{'1. open': '35.0200', '2. high': '35.4473', '3. low': '34.5450', '4. close': '34.8400', '5. volume': '7282086'}"
,"{'1. open': '34.6900', '2. high': '36.3400', '3. low': '34.2600', '4. close': '35.6100', '5. volume': '8928584'}"
,"{'1. open': '32.8900', '2. high': '34.3057', '3. low': '32.7700', '4. close': '33.7500', '5. volume': '6036658'}"
,"{'1. open': '32.7900', '2. high': '33.4950', '3. low': '32.7600', '4. close': '33.3800', '5. volume': '5567261'}"
,"{'1. open': '35.3300', '2. high': '35.7600', '3. low': '32.6700', '4. close': '32.6800', '5. volume': '11962060'}"
,"{'1. open': '35.1700', '2. high': '35.3400', '3. low': '34.5300', '4. close': '34.8400', '5. volume': '6127124'}"
,"{'1. open': '35.3100', '2. high': '35.7200', '3. low': '34.6200', '4. close': '35.0400', '5. volume': '4661669'}"
,"{'1. open': '34.3500', '2. high': '36.0500', '3. low': '34.2500', '4. close': '35.5700', '5. volume': '6405879'}"
,"{'1. open': '35.5000', '2. high': '35.5200', '3. low': '34.0500', '4. close': '34.5200', '5. volume': '8082529'}"
,"{'1. open': '35.7000', '2. high': '37.1700', '3. low': '35.5500', '4. close': '36.6900', '5. volume': '5835871'}"
,"{'1. open': '35.8100', '2. high': '35.9500', '3. low': '34.9995', '4. close': '35.0500', '5. volume': '4288675'}"
,"{'1. open': '33.6000', '2. high': '34.8700', '3. low': '33.3300', '4. close': '34.6900', '5. volume': '5218426'}"
,"{'1. open': '33.7000', '2. high': '34.5700', '3. low': '33.6000', '4. close': '34.1400', '5. volume': '3891413'}"
,"{'1. open': '32.8000', '2. high': '34.6000', '3. low': '32.6800', '4. close': '34.0900', '5. volume': '6300263'}"
,"{'1. open': '33.0300', '2. high': '33.2229', '3. low': '31.8300', '4. close': '32.5400', '5. volume': '6069900'}"
,"{'1. open': '33.9100', '2. high': '34.4425', '3. low': '33.5200', '4. close': '33.6800', '5. volume': '4490668'}"
