date,open,high,low,close,volume,PSAR,Historical_Volatility,ZigZag
2023-11-22,191.49,192.93,190.825,191.31,39630011,191.31,,
2023-11-21,191.41,191.52,189.74,190.64,38134485,192.93,,
2023-11-20,189.89,191.905,189.88,191.45,46538614,192.8458,,
2023-11-17,190.25,190.38,188.57,189.69,50941404,192.727168,,
2023-11-16,189.57,190.96,188.65,189.71,54412915,192.56088128000002,,
2023-11-15,187.845,189.5,187.78,188.01,53790499,192.40124602880002,,
2023-11-14,187.7,188.11,186.3,187.44,60108378,192.21639618764803,,
2023-11-13,185.82,186.03,184.21,184.8,43627519,191.97974034014211,,
2023-11-10,183.97,186.565,183.53,186.4,66177922,191.66895072653642,,
2023-11-09,182.96,184.12,181.81,182.41,53763540,191.34339269747497,,
2023-11-08,182.35,183.45,181.59,182.89,49340282,190.96205698957596,,
2023-11-07,179.18,182.44,178.97,181.82,70529966,190.58717470999292,,
2023-11-06,176.38,179.43,176.21,179.23,63841310,190.12248772159322,,
2023-11-03,174.24,176.82,173.35,176.65,79829246,189.56598821272948,,
2023-11-02,175.52,177.78,175.46,177.57,77334752,188.9173486842203,,
2023-11-01,171.0,174.23,170.12,173.97,56934906,188.29465473685147,,
2023-10-31,169.35,170.9,167.9,170.77,44846017,187.56766854737742,,
2023-10-30,169.02,171.17,168.87,170.29,51130955,186.78096180548232,,
2023-10-27,166.91,168.96,166.83,168.22,58499129,186.02572333326302,,
2023-10-26,170.37,171.3775,165.67,166.89,70625258,185.2578943999325,,
2023-10-25,171.88,173.06,170.65,171.1,57156962,184.4743786239352,0.05043045585106558,
2023-10-24,173.05,173.67,171.45,173.44,43816644,183.72220347897778,0.0539443409831219,
2023-10-23,170.91,174.01,169.93,173.0,55980109,183.00011533981868,0.0531785651066708,
2023-10-20,175.31,175.42,172.64,172.88,64244028,182.30691072622594,0.05315971213425003,
2023-10-19,176.04,177.84,175.19,175.46,59302863,181.6414342971769,0.056473062773149174,
2023-10-18,175.58,177.575,175.11,175.84,54764375,181.00257692528982,0.05651594408789097,
2023-10-17,176.645,178.42,174.8,177.15,57549350,180.38927384827824,0.05753481412981165,
2023-10-16,176.75,179.075,176.51,178.72,52516984,179.80050289434712,0.05735239355607108,
2023-10-13,181.42,181.93,178.14,178.85,51456082,165.67,0.05639635200436568,
2023-10-12,180.07,182.34,179.04,180.71,56743119,166.21519999999998,0.05371911408505376,
2023-10-11,178.2,179.85,177.6,179.8,47551098,166.749496,0.05380180232816377,
2023-10-10,178.1,179.72,177.95,178.39,43698019,167.27310608,0.05403544549150257,
2023-10-09,176.81,179.05,175.8,178.99,42390772,167.78624395839998,0.05228780373508443,
2023-10-06,173.8,177.99,173.18,177.49,57266675,168.28911907923197,0.050854441937036976,
2023-10-05,173.79,175.45,172.68,174.91,48527918,168.78193669764732,0.0526560468962041,
2023-10-04,171.09,174.21,170.97,173.66,53020286,169.26489796369438,0.04895953882186391,
2023-10-03,172.255,173.63,170.82,172.4,49594613,169.7382000044205,0.04566687817644244,
2023-10-02,171.22,174.3,170.93,173.75,52164535,170.2020360043321,0.04609363523271632,
2023-09-29,172.02,173.07,170.341,171.21,51861083,192.93,0.046908608297330665,
2023-09-28,169.34,172.03,167.62,170.69,56294419,192.3848,0.04618974070063141,
