date,open,high,low,close,volume,SMA_10,EMA_10,Bollinger_High,Bollinger_Low,Bollinger_Mid,Lowest,Highest,Stochastic,Stochastic_Signal,MAE_Upper,MAE_Lower,RVI,PVT,Chaikin_Oscillator,DPO,Williams_R,Bull_Power,Bear_Power,ROC,OBV,MFI,PPO,PPO_Signal,PPO_Histogram,CCI,Stoch_RSI,Ultimate_Oscillator,PSAR,ADL,ADX,ForceIndex,Keltner_Channel_High,Keltner_Channel_Low,Keltner_Channel_Mid,CoppockCurve,Ichimoku_a,Ichimoku_b,Ichimoku_base_line,Ichimoku_conversion_line,HMA,QStick,TRIX,Vortex_Positive,Vortex_Negative
2023-08-11,60.84,61.1982,60.69,61.17,8483912,60.543000000000006,60.56443904755056,61.27153277208384,59.814467227916175,60.543000000000006,59.975,61.48,79.40199335548198,70.76112930314333,62.05657500000001,59.029425,0.6493506493506431,7216703.85282523,-8002195.470732629,2.4695000000000036,-20.598006644518012,0.7593010225112735,0.2511010225112713,1.2916045702930967,6813787,55.26389524951201,0.7449003451557523,0.6913996408310944,0.05350070432465792,73.64813623984416,0.0,39.729695710853605,60.37,-90367313.42168523,62.50944947333802,377597.06615384645,61.47847954817859,58.59652045182141,60.0375,5.031250289045076,60.14125,59.11,59.555,60.7275,60.96976190476192,-0.08249999999999957,0.001532851207945964,0.9803676581172852,0.793738937285254
2023-08-10,61.35,61.73,60.79,60.92,7870314,60.624,60.62908649345045,61.31785877525628,59.93014122474372,60.624,59.975,61.73,53.846153846153996,65.80908389308273,62.1396,59.1084,-0.4574468085106391,8451746.25698872,-7851075.4654301405,2.049999999999997,-46.153846153846,1.2218734413258048,0.28187344132580705,1.347529529196477,-1056527,48.0848929822201,0.7374151610154512,0.7006100420996509,0.036805118915800294,81.05188999060245,0.0,37.178077091878286,60.392199999999995,-96060732.05998306,62.79987626220697,207345.815384615,61.62993057076965,58.70406942923034,60.166999999999994,4.702286503899292,60.29625,59.235,59.739999999999995,60.8525,61.023809523809526,-0.1012499999999994,0.0015272532854560474,0.9890821890960242,0.8177751645741839
2023-08-09,60.91,61.63,60.75,61.06,7904067,60.702999999999996,60.70743440373219,61.39761740068435,60.008382599315645,60.702999999999996,59.975,61.73,61.823361823362035,65.02383634166601,62.220575,59.185424999999995,0.1704545454545514,7888478.303676954,-7817395.285962805,2.0644999999999953,-38.176638176637965,1.0425443871490785,0.16254438714907593,1.310768209722912,6847540,48.002155774280546,0.7400440732577772,0.7085018503590147,0.03154222289876252,78.33386870654134,0.05392461907087476,32.32748442290592,60.44571199999999,-98396024.58271031,62.9279665675493,263600.74461538345,61.78128404223118,58.82571595776882,60.3035,4.307159956610671,60.447649999999996,59.235,59.87,61.0253,61.0904761904762,-0.02874999999999872,0.0015193000643240766,1.0010359382404486,0.8247060249727248
2023-08-08,61.19,61.35,60.62,60.92,7956064,60.789,60.7460826939627,61.32453296402342,60.253467035976584,60.789,59.975,61.73,53.846153846153996,56.50522317189001,62.308725,59.269275,-0.3698630136986227,7885825.123812643,-7542973.258744046,1.788000000000011,-46.153846153846,0.7147851942803172,-0.015214805719686808,1.431901431901431,-1108524,42.164366208191055,0.7162730314765041,0.7100568750737177,0.006216156402786388,59.201326616362884,0.0,33.066580966503714,60.49708352,-99812857.89777875,62.576813741063475,277686.8046153841,61.88739484011962,58.93360515988038,60.4105,3.8759779832704013,60.459999999999994,59.235,59.87,61.05,61.16857142857145,-0.11374999999999869,0.0015022053657208882,0.9640350970036308,0.8713392110583088
2023-08-07,60.79,61.329,60.74,61.19,6982647,60.864999999999995,60.82679493142402,61.38970097304203,60.34029902695796,60.864999999999995,59.975,61.73,69.2307692307692,61.63342830009507,62.386624999999995,59.343374999999995,0.6791171477079788,7987011.384931057,-5572084.591707289,1.9769999999999968,-30.769230769230802,0.6141688694145842,0.025168869414585515,1.2576534833691841,5874123,48.179122080999925,0.7226345997023361,0.7125734408397946,0.010061158862541553,79.31568258106725,0.21798654805814602,37.23867021934708,60.5464001792,-96125925.44107254,62.25074325932665,615590.7346153827,61.99095009811365,59.06704990188637,60.52900000000001,3.6526404287111482,60.459999999999994,59.235,59.87,61.05,61.2654761904762,-0.067499999999999,0.0014858834367671252,1.0147091409819469,0.8575935676525527
2023-08-04,61.68,61.89,60.62,60.71,9359298,60.840999999999994,60.80555948934692,61.37035600287322,60.311643997126765,60.840999999999994,59.975,61.89,38.38120104438641,53.8193747071032,62.362024999999996,59.31997499999999,-0.7637795275590523,6909228.744729531,-6813923.9885908365,1.3845000000000027,-61.61879895561359,1.1758617259274544,-0.09413827407254871,-0.39376538146021656,-3485175,47.97568934050338,0.6598067439486396,0.7020166755953752,-0.04220993164673559,78.20610219255036,0.10010008468704437,33.54744480611516,60.593744172032,-104158708.76390713,62.44807189551416,174638.31615384432,62.114852593207964,59.083147406792044,60.599000000000004,2.9875017816734233,60.54,59.315,59.95,61.129999999999995,61.34380952380953,-0.18124999999999858,0.0014515558989555922,0.9939138905906337,0.8392503841479959
2023-08-03,61.87,62.12,61.525,61.64,8039062,60.943999999999996,60.957275945829295,61.64619971834556,60.241800281654434,60.943999999999996,59.975,62.12,77.62237762237773,61.74478263251111,62.4676,59.420399999999994,-0.38655462184873496,9482446.207214627,-8270804.149177209,2.181999999999995,-22.377622377622274,1.273153311980522,0.6781533119805232,1.6993895396799228,4553887,48.18202420252031,0.7185409895238483,0.7053223965953079,0.01321859292854033,171.50676124327407,0.3570756547299489,33.50391670464979,60.62,-109090234.19247851,62.8026766317625,901783.8038461524,62.270559963547555,59.108440036452436,60.689499999999995,2.717952965529026,60.655,59.43,60.065,61.245,61.46261904761905,-0.18249999999999833,0.0014350870509927706,1.0008512873457047,0.7246357124097783
2023-08-02,61.56,62.585,61.56,61.96,11061082,61.092000000000006,61.13958941022396,61.963106575952,60.220893424048015,61.092000000000006,60.3206,62.585,72.39886945769301,62.80081604148572,62.61930000000001,59.5647,0.39024390243902357,8096484.878650228,-8886971.991168067,2.3685000000000045,-27.60113054230699,1.5786756653744334,0.5536756653744348,2.447089947089954,15614969,56.5546437146597,0.7956991642907106,0.7234015050183034,0.07229765927240728,167.3402254374408,0.5498910449309958,31.751368418940537,60.62,-111518276.58272243,63.43433739521033,927906.4353846158,62.36850696537017,59.15949303462982,60.763999999999996,2.859183635772017,61.022499999999994,59.6625,60.442499999999995,61.6025,61.601190476190474,-0.07749999999999879,0.0014388630666892434,1.020005057948392,0.7064994636830593
2023-08-01,62.09,62.36,61.62,61.77,9283438,61.222,61.25420951745597,62.06820985051655,60.37579014948345,61.222,60.37,62.585,63.20541760722364,71.0755548957648,62.75255,59.69145,-0.4324324324324317,11032614.388315042,-10086835.041083038,2.0775000000000077,-36.79458239277636,1.244311255007652,0.5043112550076501,2.149826360178608,6331531,49.24350247904239,0.8228888131669143,0.7433022732303061,0.07958653993660825,127.92940283557473,0.3535826520804783,32.13446058834241,60.8165,-117038158.63677634,64.02087953269759,348874.618461538,62.42578161710167,59.22921838289833,60.8275,3.0137046223603767,61.052499999999995,59.6625,60.5025,61.6025,61.81380952380952,-0.15874999999999861,0.0014465614915046454,1.0180293020260913,0.7772799040318957
2023-07-31,62.45,62.45,61.73,61.93,15584503,61.327,61.37708051428215,62.24235299808939,60.41164700191061,61.327,60.37,62.585,70.42889390519187,68.67772699003618,62.860175,59.793825,-0.7222222222222205,9323805.823862717,-11863942.72191158,2.136000000000003,-29.571106094808133,1.2177363195791955,0.4977363195791895,1.7247043363994696,21916034,51.13695378254098,0.8544480336980522,0.7655343804777911,0.08891365322026112,122.17697386001633,0.3184397444545865,30.29213583371504,60.99335,-123964604.41455407,64.62291112680735,877375.3461538448,62.48636753624659,59.30563246375341,60.896,3.088413431799728,61.114999999999995,59.6625,60.6275,61.6025,62.04976190476191,-0.16999999999999904,0.0014588387708954242,1.0233642799834246,0.7831089480783984
