date,open,high,low,close,volume,SMA_10,EMA_10,Bollinger_High,Bollinger_Low,Bollinger_Mid,Stochastic,Stochastic_Signal,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Signal,ATR,RSI,CCI,Williams_R,ROC,MFI,Standard_Deviation,Historical_Volatility,Chandelier_Exit_Long,Keltner_Channel_High,Keltner_Channel_Low,Keltner_Channel_Mid,MAE_Upper,MAE_Lower,ADX,Ichimoku_Conversion_Line,Ichimoku_Base_Line,Ichimoku_Leading_Span_A,Ichimoku_Leading_Span_B,Ichimoku_Lagging_Span,PSAR,ZigZag,OBV,VWAP,ADL,CMF,Volume_Oscillator,Awesome_Oscillator,TRIX,TRIX_signal,Pivot_Point,R1,S1,R2,S2,R3,S3,Fib_0%,Fib_23%,Fib_38%,Fib_50%,Fib_61%,Fib_100%
2024-01-23,211.3,215.65,207.7516,209.14,106605946.0,,209.14,209.14,209.14,209.14,17.57824369492541,17.57824369492541,0.0,0.0,0.0,0.0,,0.0,0.0,-82.4217563050746,0.0,0.0,0.0,,,,,,,,0.0,,,,,239.29,209.14,,0.0,,-69127040.03767882,,0.0,,,,,,,,,,,215.65,213.7859776,212.6328112,211.70080000000002,210.7687888,207.7516
2024-01-22,212.26,217.8,206.27,208.8,117952527.0,,209.0781818181818,209.4508326112068,208.4891673887932,208.97,21.942758022549878,19.760500858737643,-0.027122507122498973,-0.005424501424499795,-0.02169800569799918,-0.004339601139599836,,0.0,0.0,-78.05724197745012,0.0,0.0,0.0,,,,,,,,0.0,,,,,237.01,215.65,,-117952527.0,,-135315491.8754932,,905140.3646723777,,-0.0003175205603889175,-0.0003175205603889175,210.84720000000002,213.94280000000003,206.04440000000002,218.74560000000002,202.9488,221.84120000000004,198.14600000000002,217.8,215.07892,213.39554,212.03500000000003,210.67446,206.27
2024-01-19,209.99,213.19,207.56,212.19,102260343.0,,209.64396694214872,213.776982129529,206.30968453713766,210.04333333333332,51.34431916738931,30.288440294954864,0.2223641041874771,0.040133219697895586,0.18223088448958152,0.03297449598623644,,90.88471849866009,0.0,-48.65568083261069,0.0,0.0,0.0,,,,,,,,0.0,,,,,239.74,217.8,,-15692184.0,,-69382091.32664776,,352182.77728267014,,0.0023323826986665352,0.00021246009142217304,210.9566666666667,215.6433333333334,204.1133333333334,222.4866666666667,199.4266666666667,227.1733333333334,192.5833333333334,217.8,215.07892,213.39554,212.03500000000003,210.67446,206.27
2024-01-18,216.88,217.45,208.74,211.88,108595431.0,,210.0505184072126,214.0615401327699,206.9434598672301,210.5025,48.65568083261045,40.647586007516544,0.3905674138555355,0.11022005852942357,0.28034735532611194,0.08244906785421155,,83.91089108910933,0.0,-51.34431916738955,0.0,0.0,0.0,,,,,,,,0.0,,,,,243.84,207.56,,-124287615.0,,-99679094.46442059,,420303.56462939084,,0.006562153922695657,0.0014823988576768699,210.98000000000002,214.40000000000003,208.77000000000004,216.61,205.35000000000002,220.03000000000003,203.14000000000004,217.8,215.07892,213.39554,212.03500000000003,210.67446,206.27
2024-01-17,214.86,215.67,212.01,215.55,103164400.0,,211.05042415135574,216.97843210878906,206.04556789121094,211.512,80.48568950563747,60.16189650187908,0.8106632557452826,0.25030869797259536,0.5603545577726873,0.1780301658379067,,91.5693904020755,0.0,-19.51431049436253,0.0,0.0,0.0,,,,,,,,0.0,,,,,242.64,207.7648,,-21123215.0,,-3279573.1529438347,,35640.12947791815,,0.015082173313962777,0.004202353748934051,212.68999999999997,216.63999999999993,207.92999999999995,221.39999999999995,203.98,225.3499999999999,199.21999999999997,217.8,215.07892,213.39554,212.03500000000003,210.67446,206.27
2024-01-16,215.1,223.49,212.18,219.91,115355046.0,,212.6612561238365,221.33325242391373,204.4900809094196,212.91166666666666,79.21022067363523,69.45053033729438,1.4783661147102407,0.4959201813201245,0.9824459333901162,0.3389133193483486,,94.61474730737383,0.0,-20.789779326364766,0.0,0.0,0.0,,,,,,,,0.0,,,,,239.37,207.965504,219.91,94231831.0,,39047875.20249359,,706332.6731116325,,0.030148459886158996,0.00939157497637904,214.41,216.81,213.15,218.07,210.75,220.47,209.49,223.49,219.42608,216.91196000000002,214.88,212.84804,206.27
2024-01-12,220.08,225.34,217.1501,218.89,123043812.0,,213.79375501041164,222.6834334047331,204.84799516669543,213.76571428571427,66.17724174095427,75.29105064007565,1.903280136808604,0.7773921724178204,1.1258879643907838,0.4963082483568357,,87.24216959511084,0.0,-33.82275825904572,0.0,0.0,0.0,,,,,,,,0.0,,,,,238.72,208.27599392000002,218.89,-28811981.0,,-31715950.839485586,,1837103.5187151134,,0.047931456490069024,0.017099551279117036,218.52666666666667,224.87333333333333,213.56333333333333,229.83666666666667,207.21666666666667,236.18333333333334,202.25333333333333,225.34,220.83948,218.05526,215.805,213.55474,206.27
2024-01-11,230.57,230.93,225.37,227.22,105873612.0,,216.23489046306406,228.04407890063806,202.85092109936193,215.4475,84.9553933495539,76.78095192138113,2.879001605554464,1.1977140590451492,1.681287546509315,0.7333041079873315,,92.20354808590108,0.0,-15.0446066504461,0.0,0.0,0.0,,,,,,,,0.0,,,,,235.58,208.6172740416,227.22,77061631.0,,-67134101.61646426,,1332396.8761683702,,0.07443240250346594,0.02856612152398682,220.4600333333333,223.76996666666662,215.58006666666662,228.6499333333333,212.27013333333332,231.9598666666666,207.39016666666663,230.93,225.11024,221.50988,218.60000000000002,215.69012,206.27
2024-01-10,235.1,235.5,231.29,233.94,91628502.0,,219.4540012879615,234.55588393394203,200.44856051050243,217.50222222222223,94.66301744782757,81.93188417944525,4.146714988696658,1.7875142449754509,2.3592007437212072,1.0584834351341066,,94.06538734896948,0.0,-5.336982552172436,0.0,0.0,0.0,,,,,,,,0.0,220.885,,,,238.83,209.06352856076802,233.94,168690133.0,,-43410807.74948086,,-214574.61729323864,,0.11171275790529123,0.0451954488002477,227.84,230.31,224.75,233.4,222.28,235.87,219.19,235.5,228.60172,224.33414,220.885,217.43586,206.27
2024-01-09,238.11,238.9646,232.04,234.96,96705664.0,219.248,222.27327378105937,238.75243094957315,199.74356905042683,219.248,87.75149413052925,89.12330164263692,5.174049234877032,2.464821242955767,2.7092279919212645,1.3886323464915382,,94.27297668038413,0.0,-12.248505869470753,0.0,0.0,0.0,,,,,,224.72919999999996,213.7668,0.0,222.6173,,,,240.08,209.59225798955265,234.96,265395797.0,,-58557814.53317909,,-1019128.2532840371,,0.15525973828773854,0.06720830669774587,233.57666666666668,235.86333333333337,231.65333333333336,237.7866666666667,229.36666666666667,240.07333333333338,227.44333333333336,238.9646,231.2486744,226.4752628,222.6173,218.7593372,206.27
