,v,vw,o,c,h,l,t,n
83,64642677.0,356.8501,353.96,359.12,360.24,352.8,1644296400000,573043
84,55766422.0,364.4375,363.76,366.73,366.81,362.12,1644382800000,453982
85,112276783.0,362.0002,359.52,358.43,366.4885,356.54,1644469200000,972696
86,101569102.0,352.5999,358.43,347.06,360.07,345.8,1644555600000,919826
87,80206439.0,347.584,346.49,347.49,350.98,343.89,1644814800000,722556
88,55366054.0,354.0798,352.91,356.13,356.37,351.82,1644901200000,491843
89,58905086.0,353.5513,353.82,356.04,357.0896,350.71,1644987600000,511036
90,61730603.0,349.2045,352.74,345.45,353.46,345.02,1645074000000,516034
91,79913213.0,342.7939,346.41,341.51,346.81,339.14,1645160400000,698763
92,85925095.0,339.1294,338.49,338.08,344.04,334.35,1645506000000,689169
93,86099171.0,334.6097,341.32,329.42,342.183,329.1,1645592400000,706883
94,129846553.0,329.8454,318.84,340.49,341.04,318.26,1645678800000,1225823
95,78738588.0,342.8122,341.31,345.77,345.98,337.39,1645765200000,693193
96,77426994.0,344.5559,342.51,346.8,348.54,341.32,1646024400000,856603
97,67407000.0,343.7155,345.75,341.49,348.078,338.9,1646110800000,763558
98,70609015.0,344.8219,343.08,347.22,348.59,340.24,1646197200000,750671
99,71053135.0,344.4329,349.93,342.26,350.04,340.35,1646283600000,691267
100,76961263.0,337.6236,339.84,337.3,341.31,334.92,1646370000000,761263
101,89907794.0,330.3723,337.29,324.86,338.48,324.65,1646629200000,921610
102,116031921.0,325.4225,324.05,323.35,333.21,319.94,1646715600000,1289424
103,64723366.0,332.8806,331.75,334.99,336.38,329.09,1646802000000,647281
104,69320714.0,330.0344,330.82,331.27,332.51,326.71,1646888400000,711868
105,66228432.0,328.8411,334.32,324.4,334.64,323.9,1646974800000,673818
106,79497206.0,321.149,323.13,318.17,326.59,317.45,1647230400000,854100
107,76344991.0,324.1031,320.88,328.15,328.95,319.23,1647316800000,723792
108,105033454.0,334.6054,332.17,340.32,340.44,328.401,1647403200000,992117
109,66747301.0,340.8899,338.37,344.44,344.5,337.0406,1647489600000,616747
110,85071347.0,347.743,342.74,351.49,351.79,341.55,1647576000000,634995
111,73799072.0,349.1088,350.2,350.08,352.48,345.575,1647835200000,682343
112,63175928.0,355.1565,350.59,356.96,357.85,350.2,1647921600000,537080
113,70353024.0,354.2706,354.01,351.83,357.66,351.77,1648008000000,556389
114,53539251.0,355.7761,353.8,359.65,359.7,351.5939,1648094400000,508263
115,57512158.0,358.0765,359.59,359.35,360.67,354.9438,1648180800000,511601
116,56631466.0,361.6627,359.34,364.91,365.01,358.07,1648440000000,549453
117,67887955.0,369.1146,368.9,371.19,371.83,366.06,1648526400000,654551
118,68757710.0,368.6002,369.275,367.09,370.98,365.57,1648612800000,585528
119,67011405.0,365.0991,367.24,362.54,367.6,361.68,1648699200000,546258
120,54384647.0,360.949,362.81,361.85,363.61,358.59,1648785600000,531685
121,45908171.0,367.1007,362.71,369.3,369.31,362.44,1649044800000,400278
122,62738661.0,363.5061,367.81,361.1,368.54,359.93,1649131200000,607743
123,90028072.0,353.6442,355.65,353.26,356.78,350.56,1649217600000,992947
124,63745473.0,353.0146,352.24,354.1,356.35,348.69,1649304000000,626363
125,61845494.0,350.7563,352.32,349.15,353.09,348.5,1649390400000,578314
126,65961301.0,343.3853,344.81,340.89,345.75,340.535,1649649600000,594080
127,72776565.0,342.8861,345.76,339.45,347.69,338.035,1649736000000,693398
128,61139255.0,344.0907,339.8,346.35,347.43,339.06,1649822400000,543867
129,73095267.0,341.8007,346.44,338.43,346.97,338.21,1649908800000,595802
130,58514955.0,338.5493,337.35,338.69,341.04,335.791,1650254400000,545683
131,56515684.0,343.4444,338.03,346.26,346.85,336.98,1650340800000,470077
132,65349522.0,342.8609,347.09,341.21,347.56,339.96,1650427200000,576497
133,75723308.0,339.5959,345.19,334.15,347.87,333.2,1650513600000,704360
134,82562145.0,329.7084,334.31,325.4,335.56,324.96,1650600000000,742853
135,101655856.0,325.6141,323.73,329.58,329.9,322.43,1650859200000,903579
136,105807329.0,320.3793,327.47,317.14,327.66,316.855,1650945600000,940703
137,111204164.0,318.8781,317.24,316.76,322.88,315.0,1651032000000,925473
138,98961757.0,323.7694,321.85,328.01,329.89,317.52,1651118400000,773788
139,91950859.0,319.073,323.7,313.25,327.225,312.6,1651204800000,793336
140,114629370.0,314.1213,312.83,318.48,318.72,309.645,1651464000000,1067836
141,78168667.0,318.5505,318.5,318.82,321.17,315.98,1651550400000,693425
142,116016395.0,320.9427,319.31,329.6,330.29,313.891,1651636800000,1075631
143,153474947.0,315.551,325.17,313.0,325.25,309.62,1651723200000,1342547
144,138836955.0,309.9152,310.95,309.25,315.09,305.105,1651809600000,1345570
145,112665642.0,300.5605,303.48,297.15,309.3487,295.72,1652068800000,1048521
146,124041800.0,301.268,304.51,300.76,305.76,296.57,1652155200000,1050927
147,139607898.0,297.1094,298.44,291.84,304.09,290.95,1652241600000,1215810
148,120534650.0,289.5176,287.45,291.15,295.75,284.94,1652328000000,1072504
149,83656711.0,299.7283,295.72,301.94,302.999,294.0825,1652414400000,669932
150,59050432.0,299.5177,300.15,298.44,302.26,297.13,1652673600000,541265
151,62406293.0,303.8665,304.45,306.17,306.56,300.55,1652760000000,517338
152,79138709.0,295.1019,301.54,291.14,302.25,289.85,1652846400000,648088
153,79884709.0,290.8032,289.29,289.58,294.39,287.58,1652932800000,697273
154,91509174.0,286.702,293.13,288.68,293.8,280.21,1653019200000,723807
155,63494400.0,291.1174,289.75,293.48,293.87,287.29,1653278400000,501226
156,73446323.0,285.9249,288.125,287.24,288.86,282.25,1653364800000,573389
157,66846348.0,289.3736,285.71,291.26,293.39,285.5,1653451200000,517295
158,59402781.0,297.6962,290.44,299.33,300.92,290.15,1653537600000,420633
159,66992203.0,306.0053,302.54,309.1,309.25,302.42,1653624000000,423299
160,60968330.0,308.3725,309.07,308.28,311.33,304.33,1653969600000,446945
161,65302553.0,307.6668,310.47,306.0,312.65,303.73,1654056000000,466375
162,59291333.0,309.894,304.85,314.38,314.56,303.4001,1654142400000,454824
163,60812184.0,307.6441,309.03,306.2,310.47,304.92,1654228800000,487096
164,50885013.0,308.7991,310.75,307.22,312.35,305.62,1654488000000,385721
165,44900292.0,307.6006,303.81,309.87,310.67,302.6886,1654574400000,373299
166,38276962.0,309.112,309.05,307.64,311.72,306.77,1654660800000,299865
167,55855475.0,304.7583,305.91,299.4,309.05,299.23,1654747200000,380044
168,85101856.0,290.8432,293.65,288.84,294.87,288.384,1654833600000,648432
169,94326259.0,278.7066,279.75,275.41,282.34,274.53,1655092800000,719531
170,64695921.0,276.1242,277.66,275.91,278.66,273.3375,1655179200000,486675
171,85983428.0,281.411,279.415,282.8,286.83,276.61,1655265600000,704468
172,81806131.0,272.7045,275.59,271.39,276.06,269.28,1655352000000,586987
173,82615402.0,274.0249,272.18,274.69,277.19,270.5119,1655438400000,519547
174,51505341.0,281.5364,278.75,281.08,283.45,278.64,1655784000000,357873
175,67472924.0,281.8011,278.52,280.67,285.18,277.91,1655870400000,395440
176,57423796.0,282.9311,283.21,284.85,285.72,280.31,1655956800000,424386
177,58414762.0,291.8042,287.74,294.61,295.04,287.5001,1656043200000,396182
178,53829252.0,293.2456,296.0,292.45,296.5799,291.29,1656302400000,354995
179,61801810.0,288.2334,293.0,283.54,295.65,283.35,1656388800000,416071
180,57052726.0,283.4535,283.4,283.8,285.34,280.84,1656475200000,379608
181,79109580.0,280.0649,280.75,280.28,283.9441,275.78,1656561600000,531973
182,56486905.0,279.8952,278.95,282.13,282.53,277.03,1656648000000,411021
183,61487272.0,282.0978,278.31,286.96,287.08,276.7501,1656993600000,463504
184,63154715.0,287.7809,287.35,288.8,290.95,285.59,1657080000000,462443
185,56319964.0,293.2374,289.63,294.98,295.7,289.63,1657166400000,347565
186,59889978.0,294.3589,292.08,295.35,296.75,291.12,1657252800000,416739
187,55065180.0,290.1163,292.88,289.04,293.11,288.14,1657512000000,369025
188,55410788.0,288.1903,290.32,286.24,292.28,284.61,1657598400000,398573
189,73869968.0,284.7785,280.6,285.65,288.05,280.02,1657684800000,512040
190,63130937.0,283.729,282.99,286.67,287.56,279.8,1657771200000,456002
191,63613949.0,290.1673,289.73,291.87,291.98,288.08,1657857600000,377567
192,58833331.0,292.3642,294.72,289.4,296.16,288.2,1658116800000,378726
193,54574890.0,295.6701,293.11,298.3,298.6,291.47,1658203200000,382767
194,67252330.0,301.7587,298.73,303.03,304.24,297.9329,1658289600000,480274
195,55041613.0,304.7083,303.5,307.38,307.435,300.78,1658376000000,382844
196,57127714.0,303.655,306.43,301.99,308.55,300.115,1658462400000,425292
197,40542131.0,300.2731,302.02,300.27,302.5,298.22,1658721600000,335363
198,50062122.0,295.6898,298.53,294.37,298.79,293.54,1658808000000,354371
199,69295564.0,303.4365,299.04,306.81,308.54,298.46,1658894400000,511378
200,55008941.0,307.5255,306.59,309.81,310.3965,302.745,1658980800000,411772
