,v,vw,o,c,h,l,t,n
19,65163883.0,151.0887,151.89,151.28,152.2,150.06,1636084800000,424255
20,55020868.0,150.8187,151.41,150.44,151.57,150.16,1636347600000,416754
21,56787930.0,150.792,150.2,150.81,151.428,150.0601,1636434000000,455006
22,65160017.0,148.6034,150.02,147.92,150.13,147.85,1636520400000,544210
23,40699950.0,148.169,148.96,147.87,149.43,147.681,1636606800000,338584
24,63804006.0,149.3536,148.43,149.99,150.4,147.48,1636693200000,404421
25,59182803.0,150.2881,150.37,150.0,151.88,149.43,1636952400000,422055
26,59256210.0,150.6976,149.94,151.0,151.488,149.34,1637038800000,388990
27,88807000.0,153.5371,150.995,153.49,155.0,150.99,1637125200000,625976
28,137777673.0,156.3264,153.71,157.87,158.67,153.05,1637211600000,865061
29,117264897.0,159.5736,157.65,160.55,161.02,156.5328,1637298000000,816964
30,117427889.0,163.5891,161.68,161.02,165.7,161.0,1637557200000,890334
31,96022899.0,160.3405,161.12,161.41,161.8,159.0601,1637643600000,712377
32,69263623.0,161.1093,160.75,161.94,162.14,159.64,1637730000000,505241
33,76940752.0,157.8439,159.565,156.81,160.45,156.36,1637902800000,666767
34,88498217.0,160.1333,159.37,160.24,161.19,158.7901,1638162000000,663948
35,173958056.0,163.775,159.985,165.3,165.52,159.92,1638248400000,1139625
36,152303002.0,167.6855,167.48,164.77,170.3,164.53,1638334800000,1191148
37,136739174.0,161.8301,158.735,163.76,164.2,157.8,1638421200000,1163153
38,117949416.0,161.8243,164.02,161.84,164.96,159.72,1638507600000,950980
39,107496982.0,165.8234,164.29,165.32,167.8799,164.28,1638766800000,840677
40,120356951.0,170.5609,169.08,171.18,171.58,168.34,1638853200000,834819
41,116982099.0,174.0176,172.125,175.08,175.96,170.7,1638939600000,871401
42,108923738.0,175.277,174.91,174.56,176.75,173.92,1639026000000,786129
43,115402731.0,177.2721,175.205,179.45,179.63,174.69,1639112400000,855797
44,153237019.0,178.5988,181.115,175.74,182.13,175.53,1639371600000,1148448
45,139356181.0,174.4001,175.25,174.33,177.74,172.21,1639458000000,985603
46,131063257.0,176.0771,175.11,179.3,179.5,172.3108,1639544400000,937053
47,150185842.0,174.4138,179.28,172.26,181.14,170.75,1639630800000,1202731
48,194579041.0,171.2628,169.93,171.14,173.47,169.69,1639717200000,994729
49,107499114.0,169.2626,168.28,169.75,170.58,167.46,1639976400000,816118
50,91167005.0,171.4815,171.555,172.99,173.2,169.12,1640062800000,651088
51,92135303.0,174.3316,173.04,175.64,175.86,172.15,1640149200000,643554
52,68356567.0,176.1477,175.85,176.28,176.8499,175.27,1640235600000,502547
53,74901582.0,179.0573,177.085,180.33,180.42,177.07,1640581200000,630107
54,78894335.0,179.7048,180.16,179.29,181.33,178.53,1640667600000,631766
55,62348931.0,179.4557,179.33,179.38,180.63,178.14,1640754000000,491790
56,59773014.0,179.3744,179.47,178.2,180.57,178.09,1640840400000,498664
57,64062261.0,177.8004,178.085,177.57,179.23,177.26,1640926800000,451687
58,104677470.0,181.4156,177.83,182.01,182.88,177.71,1641186000000,772691
59,99110438.0,180.5574,182.63,179.7,182.94,179.12,1641272400000,831890
60,94535602.0,177.2884,179.61,174.92,180.17,174.64,1641358800000,848513
61,96882954.0,173.08,172.7,172.0,175.3,171.64,1641445200000,960340
62,86709147.0,172.4383,172.89,172.17,174.14,171.03,1641531600000,716881
63,106754551.0,170.2886,169.08,172.19,172.5,168.17,1641790800000,956337
64,76138312.0,173.6337,172.32,175.08,175.18,170.82,1641877200000,649652
65,74805173.0,175.8343,176.12,175.53,177.18,174.82,1641963600000,642756
66,84405760.0,173.9711,175.78,172.19,176.62,171.79,1642050000000,692343
67,80440778.0,172.3612,171.34,173.07,173.78,171.09,1642136400000,672552
68,91063979.0,170.5404,171.51,169.8,172.54,169.405,1642482000000,780899
69,94814990.0,168.2999,170.0,166.23,171.08,165.94,1642568400000,824022
70,91420515.0,167.0706,166.98,164.51,169.68,164.18,1642654800000,795585
71,122824858.0,163.8807,164.415,162.41,166.33,162.3,1642741200000,1079476
72,162706686.0,158.6897,160.02,161.62,162.3,154.7,1643000400000,1632710
