date,open,high,low,close,volume,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
2023-09-20,267.04,273.93,262.4606,262.59,122514643,,,,,,,,
2023-09-19,264.35,267.85,261.2,266.5,103704040,,,,,,,,
2023-09-18,271.16,271.44,263.7601,265.28,101543305,,,,,,,,
2023-09-15,277.55,278.98,271.0,274.39,133692313,,,,,,,,
2023-09-14,271.32,276.7094,270.42,276.04,107709842,,,,,,,,
2023-09-13,270.07,274.98,268.1,271.3,111673737,,,,,,,,
2023-09-12,270.76,278.39,266.6,267.48,135999866,,,,,,,,
2023-09-11,264.27,274.85,260.61,273.58,174667852,,,,,,,,
2023-09-08,251.22,256.52,246.67,248.5,118559635,,,,,,,,
2023-09-07,245.07,252.81,243.265,251.49,115312886,265.71500000000003,262.81307019886293,,34.689378124697896,,,,
2023-09-06,255.135,255.39,245.06,251.92,116959759,264.648,260.83251198088783,-4.063368749761982,35.383449550874786,,,,
2023-09-05,245.0,258.0,244.86,256.49,129469565,263.647,260.04296434799915,-3.756097560975606,42.58831500187725,,,,
2023-09-01,257.26,259.0794,242.01,245.01,132541640,261.62,257.3096981029084,-7.640983112183347,32.479954961125685,,,,
2023-08-31,255.98,261.18,255.05,258.08,108861698,259.98900000000003,257.44975299328866,-5.944094172528155,48.0714464057076,,,,
2023-08-30,254.2,260.51,250.59,256.9,121988437,258.075,257.3497979035998,-6.933777713374889,46.98311624094009,,,,
2023-08-29,238.58,257.48,237.77,257.18,134047603,256.663,257.31892555749073,-5.204570586067086,47.29770018908433,,,,
2023-08-28,242.58,244.38,235.35,238.82,107673727,253.79699999999997,253.95548454703783,-10.714819799611194,33.02198962171806,,,,
2023-08-25,231.31,239.0,230.35,238.59,106612231,250.298,251.16176008394,-12.789677608012276,32.883838990668636,,,,
2023-08-24,238.66,238.92,228.1801,230.04,99777432,248.452,247.32144006867816,-7.4285714285714315,28.038728160400254,,,,
2023-08-23,229.34,238.98,229.29,236.86,101077635,246.98899999999998,245.4193600561912,-5.8173287208238875,36.35047183882465,,282.85240044980446,229.85159955019546,256.352
2023-08-22,240.25,240.82,229.55,233.19,130597886,245.11599999999999,243.19584004597462,-7.434899968243883,34.00224481627852,,283.04475455277765,226.7192454472223,254.88199999999998
2023-08-21,221.5512,232.1343,220.58,231.28,135702671,242.59499999999997,241.02932367397923,-9.828843229755549,32.777812484350406,,282.53445875615444,223.70754124384555,253.121
2023-08-18,214.12,217.58,212.36,215.49,136276584,239.64299999999997,236.38581027871027,-12.048487816823796,24.630608451074693,,283.707341501011,217.55565849898903,250.63150000000002
2023-08-17,226.06,226.74,218.83,219.22,120718417,235.75699999999998,233.26475386439927,-15.057346559206442,29.24655138819989,,281.75540257124635,213.99059742875366,247.873
2023-08-16,228.02,233.97,225.38,225.6,112484520,232.627,231.87116225269028,-12.183729077462042,36.62329083868164,,277.95646880509463,212.7455311949053,245.35099999999997
2023-08-15,238.73,240.5,232.61,232.96,88197599,230.20499999999998,232.06913275220114,-9.417528579205225,44.09442562340368,-9.709576542113723,274.1659751399092,212.70202486009072,243.43399999999997
2023-08-14,235.7,240.66,233.75,239.76,98595331,230.29900000000004,233.46747225180093,0.3936018758897905,50.12958146114706,-8.52687641749472,270.75040310496667,213.34559689503334,242.048
2023-08-11,241.77,243.79,238.02,242.65,99038642,230.705,235.13702275147347,1.7016639423278437,52.54854503726041,-7.272545819374471,265.3103768588987,215.69262314110128,240.5015
2023-08-10,245.4,251.8,243.0,245.34,109498608,232.23499999999999,236.9921095239328,6.651017214397502,54.815225806224284,-5.992343261652081,264.9862987655623,215.70070123443767,240.3435
2023-08-09,250.87,251.1,241.9,242.19,101596324,232.76799999999997,237.93718051958137,2.2502744237102017,51.60769349098366,-5.172328798916254,264.00805969345487,215.7489403065452,239.87850000000003
2023-08-08,247.45,250.92,245.01,249.7,96642183,234.419,240.07587497056656,7.08006346755864,58.10222291279246,-3.8718350882381287,263.6940374636616,215.84096253633845,239.7675
2023-08-07,251.45,253.6511,242.76,251.45,111097943,236.436,242.14389770319082,8.72103078519543,59.50918841915878,-2.669205142969105,262.8305796481591,216.200420351841,239.51550000000003
2023-08-04,260.97,264.77,253.11,253.86,99539907,240.273,244.27409812079247,17.805930669636645,61.4880892002576,-1.504304699889758,263.99806539092606,215.91793460907397,239.958
2023-08-03,252.04,260.49,252.0,259.32,97829545,244.283,247.00971664428474,18.292126630781862,65.70704987047901,-0.13893478351826616,264.2523213910678,215.78767860893228,240.02000000000004
