Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Bollinger_High,Bollinger_Low,Bollinger_Mid,Lowest,Highest,Stochastic,Stochastic_Signal,MAE_Upper,MAE_Lower,RVI,PVT,Chaikin_Oscillator,DPO,Williams_R,Bull_Power,Bear_Power,ROC,OBV,MFI,PPO,PPO_Signal,PPO_Histogram,CCI,Stoch_RSI,Ultimate_Oscillator,PSAR,ADL,ADX,ForceIndex,Keltner_Channel_High,Keltner_Channel_Low,Keltner_Channel_Mid,CoppockCurve,Ichimoku_a,Ichimoku_b,Ichimoku_base_line,Ichimoku_conversion_line,HMA,QStick,TRIX,Vortex_Positive,Vortex_Negative
30,29008620.0,398.3945,398.57,398.06,399.62,397.4,1636347600000,258001,389.399,390.21417017144887,404.11731346014756,374.68068653985245,389.399,372.385,400.99,89.7570354833071,92.78643981606831,399.133975,379.664025,-0.2297297297297228,43147002.815855496,40324520.56750627,33.70949999999999,-10.242964516692902,11.833092985111875,9.613092985111848,5.326383192654723,314939514.0,80.66715005944644,1.857762632189555,1.4451418330929808,0.41262079909657423,105.62082775870422,0.8202967438149978,72.396506199654,389.60351316950124,79826813.84661111,22.44836253851553,62901670.24769232,389.69739281097196,370.2126071890281,379.95500000000004,12.55394045911529,382.9025,375.655,375.655,390.15,401.0016666666666,1.9825000000000088,0.002732826526651984,1.378617355161592,0.5612011196878454
31,50470720.0,395.9918,399.16,395.32,399.57,393.92,1636434000000,438823,391.019,391.14250286754907,404.194247667925,377.843752332075,391.019,372.385,400.99,80.1782905086523,87.19338111052848,400.79447500000003,381.243525,-0.6796460176991234,28661210.632567953,24135099.12579818,30.590499999999963,-19.82170949134771,10.699125623158807,5.0491256231588295,4.273053386790459,264468794.0,77.32977223121298,1.8324424781342847,1.5226633809992003,0.30977909713508445,87.39296680607355,0.5440794718825301,63.289714789858586,391.880810535601,54368132.0766993,23.440757028618425,47795804.31461542,391.6842731704233,372.04372682957666,381.864,12.43731386585446,383.9575,375.655,377.07,390.845,401.0552380952381,1.21875,0.0028685562404995426,1.293950235810703,0.5971702715888771
32,54937346.0,391.6003,392.47,389.51,395.36,387.53,1636520400000,464042,391.97,390.8456841643583,402.76888471607907,381.171115283921,391.97,372.385,400.99,59.86715609159234,76.60082736118392,401.76925000000006,382.17075,-0.37803320561941517,49663308.33284428,6684434.1626914665,23.817999999999984,-40.13284390840766,6.397254503100044,-1.4327454968999973,2.502631578947366,209531448.0,68.43805757852772,1.6808417302461485,1.5543191150537272,0.12652261519242125,50.98385996733074,0.0,53.927341705923595,400.99,27215190.95026263,22.714090159868046,32088756.274615295,393.45175951190214,373.22724048809783,383.3395,11.926535752278195,383.9575,375.655,377.07,390.845,400.4614285714286,0.21749999999999403,0.0029329657311834324,1.1719178082191783,0.7008371385083726
33,32242983.0,391.3175,392.57,390.59,392.75,390.24,1636606800000,257791,392.60699999999997,390.7991961344749,402.0390967387397,383.1749032612602,392.60699999999997,373.56,400.99,62.085308056871924,67.37691821903886,402.422175,382.79182499999996,-0.7888446215139543,55026746.58442659,-8454868.106909875,23.861999999999966,-37.914691943128076,3.553552282694511,1.0435522826945203,1.6579043256467512,241774431.0,74.75873576452045,1.5635619940566285,1.5561686286691254,0.007393365387503126,48.54738564309508,0.30198271630223633,50.848017229792454,400.7208,3964274.9223733395,22.03932806745698,25241780.45307684,394.4681465363071,374.60685346369297,384.5375,11.334735244762461,385.72,375.655,378.735,392.70500000000004,399.24833333333345,-0.1387500000000088,0.0029473419197917007,1.2347982202794476,0.7193817812817116
34,34653964.0,393.2817,391.77,394.7,395.25,390.13,1636693200000,255449,393.466,391.508433200934,401.7648845301343,385.16711546986573,393.466,377.905,400.99,72.75286982889317,64.90177799245248,403.30265,383.62935,0.5722656250000008,32607630.820067078,-5225423.769693058,26.658999999999992,-27.247130171106825,5.263746406524831,0.1437464065248264,2.2247546036103634,276428395.0,74.93165384025957,1.5325441336668122,1.5514418122441258,-0.018897678577313615,58.309563361814874,0.31087556147812667,50.930000464386204,400.456984,31173051.344248194,21.854571316686936,31879778.147692267,395.7716142094917,375.87938579050837,385.82550000000003,10.746443668125389,386.3025,375.655,378.735,393.87,397.7540476190477,-0.05375000000000796,0.0029441832684746275,1.215376184138417,0.7091521177483757
35,33694361.0,394.2773,395.91,394.61,396.24,392.095,1636952400000,306553,394.184,392.0723544371278,401.32328225462265,387.0447177453774,394.184,379.31,400.99,70.57195571955722,68.47004453510743,404.03860000000003,384.3294,-0.31363088057901495,34646280.96860907,-1141087.6827691756,25.272500000000036,-29.428044280442773,5.590631892235535,1.4456318922355536,1.8532380042846468,242734034.0,67.94816824448972,1.48858669711133,1.5388667083630432,-0.05028001125171322,59.91004168962772,0.2638365641175577,49.10837713440554,400.19844431999996,38367142.89672101,21.852824388554918,28552280.842307728,396.78680849901707,377.0601915009829,386.9235,10.02587365936799,386.4975,375.655,378.735,394.26,396.1540476190476,-0.6700000000000088,0.002922902597662453,1.1799699390870986,0.7512063918993747
36,27222940.0,396.5945,393.86,397.42,397.93,393.66,1637038800000,241541,395.021,393.04465363037724,401.4081081962944,388.63389180370564,395.021,380.7,400.99,82.40512567767378,75.24331707537472,404.896525,385.14547500000003,0.8337236533957886,33888214.32708243,7223899.660395168,26.34200000000004,-17.594874322326216,6.310163198395685,2.040163198395703,2.151394422310758,269956974.0,66.88902190696713,1.490943846443122,1.5292796470356387,-0.03833580059251673,69.05164764938621,0.32576937900940256,54.59152714823149,399.9450754336,59087179.196486905,22.13857633855389,22098965.480769195,397.81814307406626,378.2238569259338,388.021,9.495112060643015,386.4975,375.655,378.735,394.26,395.50666666666666,-0.6925000000000097,0.002899466667698242,1.184805737252739,0.7354401450074863
37,28542163.0,397.9171,397.75,397.63,399.7196,396.64,1637125200000,231209,395.466,393.87835297030864,401.9029226601998,389.0290773398002,395.466,380.7,400.99,83.44011828486934,78.80573322736677,405.35265,385.57935000000003,-0.03896609949344183,27238021.91391978,6747006.956531294,24.968500000000006,-16.559881715130658,7.23870778735494,4.1591077873549125,1.1317971412584538,298499137.0,66.35003428259087,1.479240376570202,1.519269713960789,-0.040029337390586894,75.52441875206672,0.18866562658227895,53.64412077947504,387.53,48895932.789550945,22.697535900237124,17135714.326153807,398.76874592036296,379.53825407963706,389.1535,8.86882923251174,386.735,375.655,379.21000000000004,394.26,396.3711904761904,-0.5275000000000105,0.0028706487708533867,1.22588589498522,0.7406768679304884
38,45706515.0,400.1822,399.73,401.75,402.27,397.45,1637211600000,324769,395.819,395.3095615211616,403.2392273100893,388.39877268991074,395.819,384.42,402.27,97.08683473389365,87.64402623214558,405.714475,385.92352500000004,0.4190871369294574,29015746.084274326,17340876.938956685,27.41300000000001,-2.913165266106346,8.461698058653894,3.641698058653901,0.8864446788207454,344205652.0,67.01362887896556,1.5322671787946047,1.5218696389141815,0.010397539880423246,88.06008364352301,0.2689019926077208,59.79089261242542,387.77379199999996,84740461.15054712,23.608840648674775,28497302.159999993,399.99398362434476,380.76101637565523,390.3775,8.078470105014164,388.77,376.29499999999996,382.64,394.9,398.18142857142857,-0.21125000000001393,0.002855253355798478,1.2493285425702374,0.725216449156884
39,45043771.0,403.882,403.43,403.99,405.3,402.58,1637298000000,282724,396.358,396.8878230627685,405.3025342714641,387.4134657285359,396.358,386.75,405.3,92.93800539083557,91.15498613653286,406.26695,386.44905,0.20588235294117524,45957661.35230865,20624567.149605505,27.890499999999975,-7.061994609164429,10.034109468983104,7.314109468983077,1.3522328148519784,389249423.0,68.01688176512909,1.5986229604418973,1.5372223439442583,0.06140061649763906,109.3353582109293,0.3024567404233225,64.47056114529282,388.35364031999995,86396482.14319454,24.875410651137514,33127567.852307703,401.3626594431275,382.38134055687243,391.87199999999996,7.389055477675366,391.23749999999995,377.81,386.06,396.41499999999996,399.9140476190476,0.33874999999999034,0.002855104372524721,1.2570727421848906,0.695273168154101
