Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Bollinger_High,Bollinger_Low,Bollinger_Mid,Lowest,Highest,Stochastic,Stochastic_Signal,MAE_Upper,MAE_Lower,RVI,PVT,Chaikin_Oscillator,DPO,Williams_R,Bull_Power,Bear_Power,ROC,OBV,MFI,PPO,PPO_Signal,PPO_Histogram,CCI,Stoch_RSI,Ultimate_Oscillator,PSAR,ADL,ADX,ForceIndex,Keltner_Channel_High,Keltner_Channel_Low,Keltner_Channel_Mid,CoppockCurve,Ichimoku_a,Ichimoku_b,Ichimoku_base_line,Ichimoku_conversion_line,HMA,QStick,TRIX,Vortex_Positive,Vortex_Negative
30,61479840.0,175.9657,176.162,174.449,178.95,174.393,1636347600000,194048,170.43695,171.16563417337136,177.53732625685356,163.33657374314643,170.43695,163.666,178.95,70.55090290499884,81.60628468258629,174.69787374999999,166.17602625,-0.37590520078999307,99314718.9936317,58240108.03812413,8.403199999999998,-29.449097095001168,8.35925722106586,3.8022572210658723,5.078048530736047,122967600.0,53.91907320484199,0.8933507548275977,0.5841344628368536,0.3092162919907442,122.70715568003489,0.07932196012894813,57.412013530390546,164.46815375999998,139566559.56229162,11.462024058588977,27727162.75153857,176.94073437226564,161.68306562773432,169.31189999999998,4.206618162294572,170.094625,168.88125,168.88125,171.308,173.3378095238095,1.6291499999999957,0.001093376855891765,0.9899425475175821,0.8163023869905097
31,85898440.0,177.8186,175.7625,178.8115,179.6885,175.0713,1636434000000,232272,171.43775,172.55579159639476,180.1525762971152,162.7229237028848,171.43775,163.666,179.6885,94.52644718364795,82.98126760826513,175.72369375,167.15180625,0.6603569262756668,63627928.80819035,58808193.889541194,12.979275000000001,-5.473552816352062,7.914839057731626,3.2976390577316295,5.928787021596104,208866040.0,60.070386527191374,1.1656592614865178,0.7005316419129868,0.465127619573531,138.1785142007736,0.7135952038292855,57.163333672450165,165.33706453439999,192833564.11223492,12.810292371102259,53665494.57846153,177.9054926536524,162.3628073463476,170.13415,4.699724818590914,170.7435,169.2505,169.80975,171.67725000000002,175.43876190476192,1.732312499999999,0.0012662033212836688,1.008244700174055,0.8073978020450646
32,80547380.0,176.976,178.1935,174.1025,180.2725,173.1545,1636520400000,236741,171.88555000000002,172.83701130614116,180.6463519096429,163.12474809035714,171.88555000000002,163.666,180.2725,62.84587360370932,75.97440789745202,176.18268875,167.58841125000004,-0.5747400955324545,83777225.13171692,34901964.316587806,8.120000000000005,-37.15412639629068,8.164080060567613,1.0460800605676184,2.6399488281468657,128318660.0,54.106465177680725,1.1608844318258835,0.7926605935559905,0.368223838269893,94.17432765023607,0.04462719790706148,51.721103185054304,166.48517937164797,133741344.61799452,13.404940881410056,48428417.575384505,178.72315052096977,162.53399947903026,170.628575,4.43086127241316,171.0355,169.54250000000002,170.10175,171.96925,177.1894642857143,0.7683749999999989,0.001408995011009391,0.9777401505671792,0.7971732922642538
33,44888120.0,175.0853,175.65,173.625,177.162,173.3735,1636606800000,139744,172.0152,172.98028197775184,180.84325132895526,163.18714867104472,172.0152,163.666,180.2725,59.97049348146808,72.44760475627511,176.31557999999998,167.71482,-0.5345123399762455,80424268.17047429,9569961.130125001,7.414074999999968,-40.029506518531925,4.835772626695331,1.0472726266953316,0.7523421836782708,83430540.0,54.90069938205896,1.1229161245413308,0.8587452086338463,0.26417091590748454,67.98201311165708,0.5941613206947852,48.959508026777904,167.86391143448319,94813030.4408794,13.95711449812444,49378874.096923046,179.12887174492127,162.9914782550787,171.060175,4.102848270815317,171.634125,169.54250000000002,171.04325,172.22500000000002,178.34063095238096,0.7883125,0.0015167634828809602,1.037757702797661,0.835339673427581
34,53604680.0,175.4115,174.25,176.2575,177.0363,172.3525,1636693200000,150660,172.7788,173.57613979997876,181.6231745611423,163.9344254388577,172.7788,163.666,180.2725,75.82272001926948,66.21302903481563,177.09826999999999,168.45933,0.4286049788633129,45700873.46349892,9715945.419715002,9.642749999999978,-24.17727998073051,4.145902057960598,-0.5378979420394217,4.5284853948043375,137035220.0,59.3817073354988,1.1940155978566656,0.9258264978821156,0.26818909997455,69.62382607652351,0.9256752208899984,49.46637816139164,169.10477029103487,130591447.66962495,14.108227866395177,48801002.61230753,179.4841419076752,163.21685809232477,171.35049999999998,4.33912849563128,171.634125,169.54250000000002,171.04325,172.22500000000002,178.8210595238095,1.053374999999999,0.0016249489019185127,1.046074071510558,0.7831755809728155
35,57594380.0,177.5989,176.85,177.284,179.694,176.2905,1636952400000,160900,173.91664999999998,174.2502961999826,181.69437348941398,166.13892651058597,173.91664999999998,163.666,180.2725,82.00403456477878,72.59908268850545,178.26456624999997,169.56873374999998,0.12751579256647572,53940101.931378804,1268282.7063243985,10.446325000000002,-17.995965435221233,6.173493691607746,2.769993691607766,6.858422415170083,194629600.0,59.64810198612956,1.2796331561789982,0.9966108003609543,0.2830223558180439,101.79380422592203,0.7794001062942701,43.51004843469918,170.22154326193137,106621287.75483099,14.877233686857746,49935626.68846138,179.66845981229145,163.52724018770854,171.59785,5.403953092184783,171.80875,169.54250000000002,171.04325,172.57425,179.03699999999995,0.6388749999999987,0.001737285875432316,1.0877479109741142,0.806894888394105
36,44341420.0,177.3643,176.95,177.035,178.825,176.2573,1637038800000,128414,175.0564,174.75660598180394,180.4021643627668,169.7106356372332,175.0564,163.666,180.2725,80.5046216842802,79.44379208944282,179.43281,170.67999,0.03310355571134007,57532101.31957763,-7862970.552522674,9.876500000000021,-19.495378315719805,4.800743649264689,2.233043649264687,6.880990113953669,150288180.0,55.10872997260666,1.3202947384392512,1.0613643989719461,0.25893033946730504,86.64840499608243,0.6703993389028056,42.33340945827107,171.22663893573824,89139954.47368476,15.578744193239698,25337988.671538506,179.76307432167687,163.91537567832313,171.839225,6.813722018406496,172.65225,169.54250000000002,171.04325,174.26125000000002,179.3131547619047,-0.019249999999999545,0.0018406230856759449,1.0677648219757878,0.8332882538795578
37,50868600.0,178.2573,178.236,177.45,179.3623,177.2675,1637125200000,149754,175.8814,175.2463139851123,179.46682372515372,172.2959762748463,175.8814,163.666,180.2725,83.00364315177782,81.83743313361227,180.278435,171.48436500000003,-0.3752148176436912,44460664.606998615,-24244742.133048266,10.06212499999998,-16.996356848222188,4.847249138589007,2.7524491385890144,4.875886524822695,201156780.0,52.38991408171326,1.3543765857925902,1.1199790101145268,0.2343975756780634,87.25854110434047,0.4808620737854773,43.6043130768205,172.1312250421644,47134749.06982646,16.35905129746398,63952466.96230764,179.934461855593,164.41368814440696,172.174075,7.743733211711435,173.987975,169.54250000000002,171.66345,176.3125,180.1619166666666,-0.3799375000000005,0.0019343667180139975,1.0709633823282674,0.8478032321571776
38,114070760.0,182.6477,178.3175,184.803,185.21,178.05,1637211600000,294574,176.9767,176.9838932605464,183.38488511662203,170.56851488337796,176.9767,164.1775,185.21,98.0648995602044,87.19105479875414,181.4011175,172.5522825,0.9057960893854755,55595352.87844464,3420249.7642992735,17.110150000000004,-1.9351004397956053,9.221633250130566,2.061633250130569,6.30025884383089,315227540.0,64.64083403012734,1.683280935935075,1.2326581173066138,0.4506228186284613,131.82823783162854,1.0,48.27867190574187,172.94535253794797,148237129.3715021,18.234879313267076,143552205.85153854,180.9750675128134,164.67833248718662,172.82670000000002,9.244745537600862,176.609625,172.01125000000002,174.438,178.78125,181.0140238095238,0.644874999999999,0.002099990932381555,1.201303708513753,0.7197026695429835
39,98734060.0,186.0351,185.6345,183.8285,188.1073,183.786,1637298000000,255853,177.7646,178.22836721317432,185.42633874667038,170.10286125332962,177.7646,164.1775,188.1073,82.11936581166572,87.72930284121598,182.208715,173.320485,-0.417929789646636,113550117.2535619,-16365478.643592238,15.699225000000013,-17.880634188334287,10.996557718951237,6.675257718951229,4.477989423101509,216493480.0,62.38561304591484,1.8755866788376998,1.3612609238579114,0.5143257549797884,138.07558347118845,1.0,48.11535576193523,174.41711023339423,51445168.99430032,20.406052881375537,137234324.38461542,181.8523291371727,165.50617086282725,173.67924999999997,10.4449302326439,178.05827499999998,173.4599,175.88665,180.2299,181.70878571428568,0.0379999999999967,0.002289669852914747,1.2756886686492381,0.6759429031650009
