Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Bollinger_High,Bollinger_Low,Bollinger_Mid,Lowest,Highest,Stochastic,Stochastic_Signal,MAE_Upper,MAE_Lower,RVI,PVT,Chaikin_Oscillator,DPO,Williams_R,Bull_Power,Bear_Power,ROC,OBV,MFI,PPO,PPO_Signal,PPO_Histogram,CCI,Stoch_RSI,Ultimate_Oscillator,PSAR,ADL,ADX,ForceIndex,Keltner_Channel_High,Keltner_Channel_Low,Keltner_Channel_Mid,CoppockCurve,Ichimoku_a,Ichimoku_b,Ichimoku_base_line,Ichimoku_conversion_line,HMA,QStick,TRIX,Vortex_Positive,Vortex_Negative
30,3428846.0,123.4022,121.69,123.4,124.3,121.61,1636347600000,48565,122.58599999999998,122.34962254636365,126.49883017776123,118.67316982223873,122.58599999999998,116.69,125.86,73.17339149400225,73.59347734908319,125.65064999999998,119.52134999999998,0.6356877323420109,5838232.896884455,2269578.247171088,9.924500000000023,-26.826608505997747,2.573108510826117,-0.11689148917388081,1.305311550775801,13624847.0,41.38436359322885,1.7976287613469335,1.7066820233198319,0.09094673802710163,61.90992045420731,0.0,60.5884781140452,125.86,-488487.0063057747,17.13042126337049,2386705.31692308,125.79494070751231,113.9030592924877,119.849,13.680610253468434,119.1525,116.10499999999999,116.10499999999999,122.2,124.25142857142858,0.9009875000000012,0.0033924663787664776,1.0536746928248588,0.8644534230062715
31,5724120.0,121.1037,123.91,120.57,124.22,119.65,1636434000000,75889,122.523,122.02605481066117,126.55352850132573,118.49247149867426,122.523,116.69,125.86,42.31188658669569,58.85132679025812,125.586075,119.459925,-0.7308533916849034,3297571.611021069,885229.643110401,6.855499999999992,-57.688113413304315,2.65957832847792,-1.910421671522073,-0.5198019801980277,7900727.0,40.2286765432681,1.5673696289320513,1.6787974520088007,-0.11142782307674937,27.40747025093043,0.0,55.40661349029656,125.7632,-3907928.4942707918,16.05833427409747,815185.7046153841,126.39614367213669,114.1848563278633,120.2905,11.717962888146833,119.45750000000001,116.10499999999999,116.715,122.2,122.85857142857141,0.09973750000000159,0.0033559887510489425,0.9942910014370928,0.8781424099848417
32,7851866.0,118.3007,118.42,116.54,120.785,115.2,1636520400000,93194,122.30900000000001,121.02859029963186,127.34757519542968,117.27042480457034,122.30900000000001,115.2,125.86,12.570356472795533,42.685211517831156,125.36672500000002,119.251275,-0.33661593554162894,5461674.781620637,-1060026.3368721916,2.3725000000000165,-87.42964352720446,-0.05376110055235017,-5.638761100552344,-1.8031681833501858,48861.0,33.125773131013204,1.123519767521928,1.567671480659285,-0.44415171313735713,-70.15575058884137,0.0,46.59694268130088,125.518672,-7992023.522023687,16.29992211843768,-892407.0653846092,126.80486148852985,114.08713851147014,120.446,9.911686542641382,118.6625,116.10499999999999,116.795,120.53,121.07119047619045,-0.18026249999999777,0.003189495010645881,0.8993913596375552,0.9636901147564111
33,3978070.0,117.793,118.28,117.34,118.78,117.1,1636606800000,48545,121.86600000000001,120.3579375178806,127.81239909711934,115.91960090288069,121.86600000000001,115.2,125.86,20.075046904315208,24.98576332126881,124.91265000000001,118.81935000000001,-0.5595238095238059,7879173.842800755,-2662797.04976598,2.724500000000006,-79.92495309568478,-1.556277785060118,-3.2362777850601248,-3.638006077030461,4026931.0,38.42906730528346,0.8118406202849558,1.4164286193428481,-0.6045879990578923,-71.25507652984443,0.13520144137212903,45.19128569556216,124.89955168,-10833502.09345222,16.524253688182167,-3025693.10384615,126.79891841410338,114.26908158589666,120.53400000000002,8.018757373846652,119.17,116.10499999999999,117.81,120.53,119.46071428571425,-0.6965124999999972,0.002953246834320855,0.9715455675631924,0.9703002969970301
34,3740706.0,117.5926,117.77,118.49,118.52,116.71,1636693200000,50122,121.58700000000002,120.01831251462957,127.90574846961182,115.26825153038821,121.58700000000002,115.2,125.86,30.863039399624704,21.16948092557848,124.62667500000002,118.54732500000001,0.39779005524861766,4014731.086585989,-1925995.3097198652,3.312500000000014,-69.1369606003753,-1.551321449809663,-3.3613214498096653,-2.300461741424807,7767637.0,35.18720995102473,0.6298866050875602,1.2590563787269025,-0.6291697736393422,-74.07287727947558,0.0,42.49708110974926,124.3175785792,-7216797.397319629,16.853456799327493,-2323749.556153845,126.8011724933982,114.53582750660179,120.6685,5.98222519884581,119.17,116.10499999999999,117.81,120.53,118.06142857142856,-0.4227624999999975,0.002695992180655944,0.9379485859712333,1.0446523823035794
35,3690211.0,117.8226,118.85,117.53,119.05,116.64,1636952400000,49619,120.828,119.5658920574242,127.08370530706877,114.57229469293124,120.828,115.2,125.86,21.85741088180112,24.265165728580342,123.84870000000001,117.8073,-0.5477178423236494,3710808.096717023,-1756244.3257169342,1.8470000000000084,-78.14258911819888,-0.6568578761877291,-3.0668578761877257,-6.066176470588238,4077426.0,37.37481669357972,0.41992206687760536,1.0911750357464327,-0.6712529688688273,-84.14576007277581,0.0,42.52743254831699,123.77052386444801,-8181458.364124603,16.90103886616394,-1652356.359230768,126.75953886872828,114.6254611312717,120.6925,3.3679595591940825,119.17,116.10499999999999,117.81,120.53,116.65285714285714,-0.8827624999999966,0.0024147322030633267,0.8711430993379894,1.0834047311163284
36,3324495.0,118.0779,116.74,118.92,118.92,116.12,1637038800000,44440,120.41100000000002,119.44845713789252,126.55143393327283,114.2705660667272,120.41100000000002,115.2,125.86,34.8968105065666,29.205753595997475,123.42127500000002,117.40072500000001,0.7785714285714318,3729529.0298647154,-469652.96970427316,2.34050000000002,-65.10318949343339,-0.6740735825655406,-3.4740735825655378,-3.3877650499634426,7401921.0,42.928387060632545,0.3383811824130863,0.9405771676378896,-0.6021959852248033,-73.839292874575,0.22649181952203754,49.47379786738693,123.25629243258113,-4856963.364124603,17.125242610636842,-2409704.709230764,126.70218692529188,114.61481307470812,120.6585,1.5250123602266394,119.394525,116.10499999999999,118.25905,120.53,115.34500000000001,-0.5674999999999955,0.002149168312632307,0.9016332548386581,1.0279737596962328
37,3802598.0,117.257,118.37,116.72,118.71,116.17,1637125200000,46537,119.619,118.95237402191205,125.3655928069499,113.8724071930501,119.619,115.2,125.86,14.258911819887397,23.671044402751708,122.609475,116.628525,-0.6496062992126027,3254147.5765220313,-586394.1866829693,-0.5619999999999976,-85.7410881801126,-0.4723149450201163,-3.0123149450201083,-6.3543003851091155,3599323.0,36.67831690818813,0.13082597356056538,0.7785932860864522,-0.6477673125258868,-89.46789392454077,0.0,45.001136138899945,122.77291488662627,-7012766.954675787,17.33343180193311,-2933873.765384612,126.57600257902727,114.54299742097272,120.5595,-0.6124887475746252,119.37525000000001,116.10499999999999,118.9,119.85050000000001,114.33238095238096,-0.5649999999999977,0.0018642355899680988,0.8990332019125126,1.0366619580062457
38,6031652.0,114.6625,117.13,113.82,117.73,113.22,1637211600000,77543,118.56200000000001,118.01921510883713,124.29672696240485,112.82727303759518,118.56200000000001,113.22,125.86,4.746835443037929,17.96751925649731,121.52605000000001,115.59795000000001,-0.7339246119733921,3652736.8725154214,-1989025.619632327,-4.1969999999999885,-95.25316455696208,-0.6843889277944868,-5.194388927794492,-8.497467642093422,-2432329.0,35.35083593997547,-0.21983613448012282,0.578874217951055,-0.7987103524311778,-128.98499954313814,0.0,42.978880405076346,122.31853999342869,-11439544.808334341,18.482786151446025,-6204271.162307694,126.43417745007594,114.10082254992409,120.26750000000001,-3.316850347599657,119.14999999999999,116.10499999999999,119.53999999999999,118.75999999999999,113.3404761904762,-1.192499999999999,0.0015266138793247153,0.7943217087656469,1.0521066211833372
39,5806108.0,113.7869,114.29,113.24,115.3,113.01,1637298000000,68190,117.657,117.15026690723037,123.6284658539126,111.68553414608739,117.657,113.01,125.86,1.7898832684824113,6.93187684380258,120.59842499999999,114.715575,-0.4585152838428013,6002065.436654367,-3857972.7011321615,-5.366499999999988,-98.21011673151759,-2.373635252304993,-4.663635252304985,-7.400441573309356,-8238437.0,26.335117556926278,-0.53134835544582,0.35680018456944923,-0.8881485400152693,-134.78329576260123,0.0,41.576586042374224,121.5906567939544,-16079360.371653166,19.610294207217493,-5589499.247692307,126.12934357757212,113.95465642242789,120.042,-5.8301744836444005,119.025,116.10499999999999,119.435,118.61500000000001,112.0652380952381,-0.90625,0.001156369935601749,0.7693609196648619,1.1924627781053263
