date,open,high,low,close,volume,symbol
2022-01-03,177.8300,182.8800,177.7100,182.0100,104701220,AAPL
2022-01-04,182.6300,182.9400,179.1200,179.7000,99310438,AAPL
2022-01-05,179.6100,180.1700,174.6400,174.9200,94537602,AAPL
2022-01-06,172.7000,175.3000,171.6400,172.0000,96903955,AAPL
2022-01-07,172.8900,174.1400,171.0300,172.1700,86709147,AAPL
2022-01-10,169.0800,172.5000,168.1700,172.1900,106765552,AAPL
2022-01-11,172.3200,175.1800,170.8200,175.0800,75937685,AAPL
2022-01-12,176.1200,177.1800,174.8200,175.5300,74805173,AAPL
2022-01-13,175.7800,176.6200,171.7900,172.1900,84505760,AAPL
2022-01-14,171.3400,173.7800,171.0900,173.0700,80440780,AAPL
2022-01-18,171.5100,172.5400,169.4050,169.8000,90500236,AAPL
2022-01-19,170.0000,171.0800,165.9400,166.2300,92914792,AAPL
2022-01-20,166.9800,169.6800,164.1800,164.5100,91420515,AAPL
2022-01-21,164.4150,166.3300,162.3000,162.4100,122848858,AAPL
2022-01-24,160.0200,162.3000,154.7000,161.6200,162706686,AAPL
2022-01-25,158.9800,162.7600,157.0200,159.7800,115798367,AAPL
2022-01-26,163.5000,164.3894,157.8200,159.6900,108275308,AAPL
2022-01-27,162.4500,163.8400,158.2800,159.2200,121954638,AAPL
2022-01-28,165.7100,170.3500,162.8000,170.3300,179935660,AAPL
2022-01-31,170.1600,175.0000,169.5100,174.7800,115541590,AAPL
2022-02-01,174.0100,174.8400,172.3100,174.6100,86213911,AAPL
2022-02-02,174.7450,175.8800,173.3300,175.8400,84914256,AAPL
2022-02-03,174.4800,176.2399,172.1200,172.9000,89418074,AAPL
2022-02-04,171.6800,174.1000,170.6800,172.3900,82465400,AAPL
2022-02-07,172.8600,173.9458,170.9500,171.6600,77251204,AAPL
2022-02-08,171.7300,175.3500,171.4300,174.8300,74829217,AAPL
2022-02-09,176.0500,176.6500,174.9000,176.2800,71285038,AAPL
2022-02-10,174.1400,175.4800,171.5500,172.1200,90865899,AAPL
2022-02-11,172.3300,173.0800,168.0400,168.6400,98670687,AAPL
2022-02-14,167.3700,169.5800,166.5600,168.8800,86185530,AAPL
2022-02-15,170.9700,172.9500,170.2500,172.7900,64286320,AAPL
2022-02-16,171.8500,173.3400,170.0500,172.5500,61177398,AAPL
2022-02-17,171.0300,171.9100,168.4700,168.8800,69589344,AAPL
2022-02-18,169.8200,170.5413,166.1900,167.3000,82772674,AAPL
2022-02-22,164.9800,166.6900,162.1500,164.3200,90457637,AAPL
2022-02-23,165.5400,166.1500,159.7500,160.0700,90009247,AAPL
2022-02-24,152.5800,162.8500,152.0000,162.7400,141147540,AAPL
2022-02-25,163.8400,165.1200,160.8738,164.8500,91974222,AAPL
2022-02-28,163.0600,165.4200,162.4300,165.1200,95056629,AAPL
2022-03-01,164.6950,166.6000,161.9700,163.2000,83474425,AAPL
2022-03-02,164.3900,167.3600,162.9500,166.5600,79724750,AAPL
2022-03-03,168.4700,168.9100,165.5500,166.2300,76678441,AAPL
2022-03-04,164.4900,165.5500,162.1000,163.1700,83819592,AAPL
2022-03-07,163.3600,165.0200,159.0400,159.3000,96418845,AAPL
2022-03-08,158.8200,162.8800,155.8000,157.4400,131148280,AAPL
2022-03-09,161.4750,163.4100,159.4100,162.9500,91454905,AAPL
2022-03-10,160.2000,160.3900,155.9800,158.5200,105342033,AAPL
2022-03-11,158.9300,159.2800,154.5000,154.7300,96970102,AAPL
2022-03-14,151.4500,154.1200,150.1000,150.6200,108732111,AAPL
2022-03-15,150.9000,155.5700,150.3800,155.0900,92964302,AAPL
2022-03-16,157.0500,160.0000,154.4600,159.5900,102300157,AAPL
2022-03-17,158.6100,161.0000,157.6300,160.6200,75615376,AAPL
2022-03-18,160.5100,164.4800,159.7600,163.9800,122055535,AAPL
2022-03-21,163.5100,166.3500,163.0150,165.3800,89029269,AAPL
2022-03-22,165.5100,169.4200,164.9100,168.8200,80979755,AAPL
2022-03-23,167.9900,172.6400,167.6500,170.2100,98062674,AAPL
2022-03-24,171.0600,174.1400,170.2100,174.0700,90131418,AAPL
2022-03-25,173.8800,175.2800,172.7500,174.7200,80281664,AAPL
2022-03-28,172.1700,175.7300,172.0000,175.6000,90371916,AAPL
2022-03-29,176.6900,179.0100,176.3400,178.9600,100589440,AAPL
2022-03-30,178.5500,179.6100,176.7000,177.7700,92633154,AAPL
2022-03-31,177.8400,178.0300,174.4000,174.6100,103049285,AAPL
2022-04-01,174.0300,174.8800,171.9400,174.3100,78751328,AAPL
2022-04-04,174.5700,178.4900,174.4400,178.4400,76545983,AAPL
2022-04-05,177.5000,178.3000,174.4150,175.0600,70902999,AAPL
2022-04-06,172.3600,173.6300,170.1300,171.8300,89058782,AAPL
2022-04-07,171.1600,173.3600,169.8500,172.1400,77594650,AAPL
2022-04-08,171.7800,171.7800,169.2000,170.0900,76575508,AAPL
2022-04-11,168.7100,169.0300,165.5000,165.7500,72246706,AAPL
2022-04-12,168.0200,169.8700,166.6400,167.6600,79265181,AAPL
2022-04-13,167.3900,171.0400,166.7700,170.4000,70618925,AAPL
2022-04-14,170.6200,171.2700,165.0400,165.2900,75329376,AAPL
